PARKID_x,PARKID_y,geodesic distance (km)
ARL01,ANA01,1938.5131194406656
ARL02,ANA01,1938.5131194406656
ARL03,ANA01,1938.5131194406656
ATL01,ANA01,3090.4111210356873
ATL01,ARL01,1189.7242793556047
ATL01,ARL02,1189.7242793556047
ATL01,ARL03,1189.7242793556047
ATL02,ANA01,3090.4111210356873
ATL02,ARL01,1189.7242793556047
ATL02,ARL02,1189.7242793556047
ATL02,ARL03,1189.7242793556047
ATL03,ANA01,3090.4111210356873
ATL03,ARL01,1189.7242793556047
ATL03,ARL02,1189.7242793556047
ATL03,ARL03,1189.7242793556047
BAL11,ANA01,3713.824667460991
BAL11,ARL01,1980.102843370817
BAL11,ARL02,1980.102843370817
BAL11,ARL03,1980.102843370817
BAL11,ATL01,928.6841492574893
BAL11,ATL02,928.6841492574893
BAL11,ATL03,928.6841492574893
BAL12,ANA01,3713.824667460991
BAL12,ARL01,1980.102843370817
BAL12,ARL02,1980.102843370817
BAL12,ARL03,1980.102843370817
BAL12,ATL01,928.6841492574893
BAL12,ATL02,928.6841492574893
BAL12,ATL03,928.6841492574893
BOS07,ANA01,4162.349483086664
BOS07,ARL01,2523.7464336418216
BOS07,ARL02,2523.7464336418216
BOS07,ARL03,2523.7464336418216
BOS07,ATL01,1507.2192350407129
BOS07,ATL02,1507.2192350407129
BOS07,ATL03,1507.2192350407129
BOS07,BAL11,578.6208649386043
BOS07,BAL12,578.6208649386043
BUF05,ANA01,3521.477166609206
BUF05,ARL01,1954.1902012765909
BUF05,ARL02,1954.1902012765909
BUF05,ARL03,1954.1902012765909
BUF05,ATL01,1122.3613857998466
BUF05,ATL02,1122.3613857998466
BUF05,ATL03,1122.3613857998466
BUF05,BAL11,442.4158407906896
BUF05,BAL12,442.4158407906896
BUF05,BOS07,643.8549528799158
CHI10,ANA01,2793.7360546659925
CHI10,ARL01,1315.6827805633404
CHI10,ARL02,1315.6827805633404
CHI10,ARL03,1315.6827805633404
CHI10,ATL01,945.6790244705913
CHI10,ATL02,945.6790244705913
CHI10,ATL03,945.6790244705913
CHI10,BAL11,974.7987348037739
CHI10,BAL12,974.7987348037739
CHI10,BOS07,1368.7182717270828
CHI10,BUF05,728.6333280994575
CHI11,ANA01,2793.7360546659925
CHI11,ARL01,1315.6827805633404
CHI11,ARL02,1315.6827805633404
CHI11,ARL03,1315.6827805633404
CHI11,ATL01,945.6790244705913
CHI11,ATL02,945.6790244705913
CHI11,ATL03,945.6790244705913
CHI11,BAL11,974.7987348037739
CHI11,BAL12,974.7987348037739
CHI11,BOS07,1368.7182717270828
CHI11,BUF05,728.6333280994575
CHI12,ANA01,2793.7360546659925
CHI12,ARL01,1315.6827805633404
CHI12,ARL02,1315.6827805633404
CHI12,ARL03,1315.6827805633404
CHI12,ATL01,945.6790244705913
CHI12,ATL02,945.6790244705913
CHI12,ATL03,945.6790244705913
CHI12,BAL11,974.7987348037739
CHI12,BAL12,974.7987348037739
CHI12,BOS07,1368.7182717270828
CHI12,BUF05,728.6333280994575
CIN08,ANA01,3032.264703350556
CIN08,ARL01,1336.3729217274802
CIN08,ARL02,1336.3729217274802
CIN08,ARL03,1336.3729217274802
CIN08,ATL01,594.0482509708418
CIN08,ATL02,594.0482509708418
CIN08,ATL03,594.0482509708418
CIN08,BAL11,682.7086257136433
CIN08,BAL12,682.7086257136433
CIN08,BOS07,1190.949043420765
CIN08,BUF05,633.3263020003262
CIN08,CHI10,405.5294155055259
CIN08,CHI11,405.5294155055259
CIN08,CHI12,405.5294155055259
CIN09,ANA01,3032.264703350556
CIN09,ARL01,1336.3729217274802
CIN09,ARL02,1336.3729217274802
CIN09,ARL03,1336.3729217274802
CIN09,ATL01,594.0482509708418
CIN09,ATL02,594.0482509708418
CIN09,ATL03,594.0482509708418
CIN09,BAL11,682.7086257136433
CIN09,BAL12,682.7086257136433
CIN09,BOS07,1190.949043420765
CIN09,BUF05,633.3263020003262
CIN09,CHI10,405.5294155055259
CIN09,CHI11,405.5294155055259
CIN09,CHI12,405.5294155055259
CLE07,ANA01,3280.6102835181946
CLE07,ARL01,1675.8385018106637
CLE07,ARL02,1675.8385018106637
CLE07,ARL03,1675.8385018106637
CLE07,ATL01,892.437342211711
CLE07,ATL02,892.437342211711
CLE07,ATL03,892.437342211711
CLE07,BAL11,496.24177957740227
CLE07,BAL12,496.24177957740227
CLE07,BOS07,886.4815030100945
CLE07,BUF05,278.92553299720475
CLE07,CHI10,495.4240589171056
CLE07,CHI11,495.4240589171056
CLE07,CHI12,495.4240589171056
CLE07,CIN08,358.20946533567184
CLE07,CIN09,358.20946533567184
CLE08,ANA01,3280.6102835181946
CLE08,ARL01,1675.8385018106637
CLE08,ARL02,1675.8385018106637
CLE08,ARL03,1675.8385018106637
CLE08,ATL01,892.437342211711
CLE08,ATL02,892.437342211711
CLE08,ATL03,892.437342211711
CLE08,BAL11,496.24177957740227
CLE08,BAL12,496.24177957740227
CLE08,BOS07,886.4815030100945
CLE08,BUF05,278.92553299720475
CLE08,CHI10,495.4240589171056
CLE08,CHI11,495.4240589171056
CLE08,CHI12,495.4240589171056
CLE08,CIN08,358.20946533567184
CLE08,CIN09,358.20946533567184
DEN01,ANA01,1324.9561495148264
DEN01,ARL01,1050.4922837647007
DEN01,ARL02,1050.4922837647007
DEN01,ARL03,1050.4922837647007
DEN01,ATL01,1950.2529069781465
DEN01,ATL02,1950.2529069781465
DEN01,ATL03,1950.2529069781465
DEN01,BAL11,2430.286679677378
DEN01,BAL12,2430.286679677378
DEN01,BOS07,2847.9343458205162
DEN01,BUF05,2204.691259630532
DEN01,CHI10,1481.308182717579
DEN01,CHI11,1481.308182717579
DEN01,CHI12,1481.308182717579
DEN01,CIN08,1760.4983528205182
DEN01,CIN09,1760.4983528205182
DEN01,CLE07,1974.4850618006615
DEN01,CLE08,1974.4850618006615
DEN02,ANA01,1324.9561495148264
DEN02,ARL01,1050.4922837647007
DEN02,ARL02,1050.4922837647007
DEN02,ARL03,1050.4922837647007
DEN02,ATL01,1950.2529069781465
DEN02,ATL02,1950.2529069781465
DEN02,ATL03,1950.2529069781465
DEN02,BAL11,2430.286679677378
DEN02,BAL12,2430.286679677378
DEN02,BOS07,2847.9343458205162
DEN02,BUF05,2204.691259630532
DEN02,CHI10,1481.308182717579
DEN02,CHI11,1481.308182717579
DEN02,CHI12,1481.308182717579
DEN02,CIN08,1760.4983528205182
DEN02,CIN09,1760.4983528205182
DEN02,CLE07,1974.4850618006615
DEN02,CLE08,1974.4850618006615
DET04,ANA01,3175.703804799806
DET04,ARL01,1632.7318200830634
DET04,ARL02,1632.7318200830634
DET04,ARL03,1632.7318200830634
DET04,ATL01,959.8801060763853
DET04,ATL02,959.8801060763853
DET04,ATL03,959.8801060763853
DET04,BAL11,639.1710360761112
DET04,BAL12,639.1710360761112
DET04,BOS07,986.8860267510642
DET04,BUF05,347.50611425233546
DET04,CHI10,381.9811596314159
DET04,CHI11,381.9811596314159
DET04,CHI12,381.9811596314159
DET04,CIN08,379.46032692348916
DET04,CIN09,379.46032692348916
DET04,CLE07,145.37853993348173
DET04,CLE08,145.37853993348173
DET04,DEN01,1861.770133645648
DET04,DEN02,1861.770133645648
DET05,ANA01,3175.703804799806
DET05,ARL01,1632.7318200830634
DET05,ARL02,1632.7318200830634
DET05,ARL03,1632.7318200830634
DET05,ATL01,959.8801060763853
DET05,ATL02,959.8801060763853
DET05,ATL03,959.8801060763853
DET05,BAL11,639.1710360761112
DET05,BAL12,639.1710360761112
DET05,BOS07,986.8860267510642
DET05,BUF05,347.50611425233546
DET05,CHI10,381.9811596314159
DET05,CHI11,381.9811596314159
DET05,CHI12,381.9811596314159
DET05,CIN08,379.46032692348916
DET05,CIN09,379.46032692348916
DET05,CLE07,145.37853993348173
DET05,CLE08,145.37853993348173
DET05,DEN01,1861.770133645648
DET05,DEN02,1861.770133645648
DUN01,ANA01,3402.882046592511
DUN01,ARL01,1472.1384749623983
DUN01,ARL02,1472.1384749623983
DUN01,ARL03,1472.1384749623983
DUN01,ATL01,653.7395206499411
DUN01,ATL02,653.7395206499411
DUN01,ATL03,653.7395206499411
DUN01,BAL11,1373.6602205188021
DUN01,BAL12,1373.6602205188021
DUN01,BOS07,1910.8174850478754
DUN01,BUF05,1686.4171876230876
DUN01,CHI10,1599.0688378697234
DUN01,CHI11,1599.0688378697234
DUN01,CHI12,1599.0688378697234
DUN01,CIN08,1239.6433656913437
DUN01,CIN09,1239.6433656913437
DUN01,CLE07,1498.6521100460911
DUN01,CLE08,1498.6521100460911
DUN01,DEN01,2421.0914316721996
DUN01,DEN02,2421.0914316721996
DUN01,DET04,1588.0298646021602
DUN01,DET05,1588.0298646021602
DYE01,ANA01,2523.11121007523
DYE01,ARL01,1203.394928961301
DYE01,ARL02,1203.394928961301
DYE01,ARL03,1203.394928961301
DYE01,ATL01,1134.2382033787405
DYE01,ATL02,1134.2382033787405
DYE01,ATL03,1134.2382033787405
DYE01,BAL11,1271.444443465783
DYE01,BAL12,1271.444443465783
DYE01,BOS07,1647.2635010259417
DYE01,BUF05,1003.4664138761182
DYE01,CHI10,296.67253670068175
DYE01,CHI11,296.67253670068175
DYE01,CHI12,296.67253670068175
DYE01,CIN08,672.152552776401
DYE01,CIN09,672.152552776401
DYE01,CLE07,788.3638667524863
DYE01,CLE08,788.3638667524863
DYE01,DEN01,1202.1581289322344
DYE01,DEN02,1202.1581289322344
DYE01,DET04,664.6511247140336
DYE01,DET05,664.6511247140336
DYE01,DUN01,1773.353435480433
FTB01,ANA01,3540.38454819619
FTB01,ARL01,1678.695185625699
FTB01,ARL02,1678.695185625699
FTB01,ARL03,1678.695185625699
FTB01,ATL01,505.2698093268284
FTB01,ATL02,505.2698093268284
FTB01,ATL03,505.2698093268284
FTB01,BAL11,512.9195811282297
FTB01,BAL12,512.9195811282297
FTB01,BOS07,1065.0571783815585
FTB01,BUF05,860.3058515608881
FTB01,CHI10,1050.0520684252458
FTB01,CHI11,1050.0520684252458
FTB01,CHI12,1050.0520684252458
FTB01,CIN08,647.8517041484498
FTB01,CIN09,647.8517041484498
FTB01,CLE07,739.9143229397444
FTB01,CLE08,739.9143229397444
FTB01,DEN01,2333.488785921307
FTB01,DEN02,2333.488785921307
FTB01,DET04,866.8191970491365
FTB01,DET05,866.8191970491365
FTB01,DUN01,860.7780261897556
FTB01,DYE01,1318.755622668084
HOU02,ANA01,2177.5175615667217
HOU02,ARL01,369.27131612542723
HOU02,ARL02,369.27131612542723
HOU02,ARL03,369.27131612542723
HOU02,ATL01,1129.4213237241258
HOU02,ATL02,1129.4213237241258
HOU02,ATL03,1129.4213237241258
HOU02,BAL11,2014.6088944980265
HOU02,BAL12,2014.6088944980265
HOU02,BOS07,2583.495926661765
HOU02,BUF05,2069.7444037885607
HOU02,CHI10,1514.0024296849745
HOU02,CHI11,1514.0024296849745
HOU02,CHI12,1514.0024296849745
HOU02,CIN08,1436.4350581751028
HOU02,CIN09,1436.4350581751028
HOU02,CLE07,1793.0483250998907
HOU02,CLE08,1793.0483250998907
HOU02,DEN01,1412.7720017349413
HOU02,DEN02,1412.7720017349413
HOU02,DET04,1778.8860484343656
HOU02,DET05,1778.8860484343656
HOU02,DUN01,1243.0060927727336
HOU02,DYE01,1462.351125161754
HOU02,FTB01,1634.6545431286106
HOU03,ANA01,2177.5175615667217
HOU03,ARL01,369.27131612542723
HOU03,ARL02,369.27131612542723
HOU03,ARL03,369.27131612542723
HOU03,ATL01,1129.4213237241258
HOU03,ATL02,1129.4213237241258
HOU03,ATL03,1129.4213237241258
HOU03,BAL11,2014.6088944980265
HOU03,BAL12,2014.6088944980265
HOU03,BOS07,2583.495926661765
HOU03,BUF05,2069.7444037885607
HOU03,CHI10,1514.0024296849745
HOU03,CHI11,1514.0024296849745
HOU03,CHI12,1514.0024296849745
HOU03,CIN08,1436.4350581751028
HOU03,CIN09,1436.4350581751028
HOU03,CLE07,1793.0483250998907
HOU03,CLE08,1793.0483250998907
HOU03,DEN01,1412.7720017349413
HOU03,DEN02,1412.7720017349413
HOU03,DET04,1778.8860484343656
HOU03,DET05,1778.8860484343656
HOU03,DUN01,1243.0060927727336
HOU03,DYE01,1462.351125161754
HOU03,FTB01,1634.6545431286106
KAN06,ANA01,2164.595743288706
KAN06,ARL01,742.0717119167394
KAN06,ARL02,742.0717119167394
KAN06,ARL03,742.0717119167394
KAN06,ATL01,1088.5467922821717
KAN06,ATL02,1088.5467922821717
